stop_id,stop_code,stop_name,stop_desc,wheelchair_boarding,stop_lat,stop_lon
11023,11023,MAIN @ CHURCH WB,NEAR SIDE MAIN @ CHURCH WB,,38.491957,-89.814176
9800,9800,BIG BEND @ DOUGHERTY FERRY WB,NEAR SIDE BIG BEND @ DOUGHERTY FERRY WB,1,38.567472,-90.474891
3574,3574,WEST FLORISSANT @ EMERSON ELECTRIC NB,MID-BLOCK WEST FLORISSANT @ EMERSON ELECTRIC NB,1,38.730611,-90.277557
2455,2455,PAGE @ ASHBY WB,MID-BLOCK PAGE @ ASHBY WB,2,38.691914,-90.392567
3470,3470,39TH STREET @ SHENANDOAH NB,FAR SIDE 39TH STREET @ SHENANDOAH NB,1,38.610305,-90.246076
2571,2571,PAGE @ RUCKERT EB,NEAR SIDE PAGE @ RUCKERT EB,2,38.695073,-90.403833
3621,3621,CHAMBERS @ FLORIDALE WB,NEAR SIDE CHAMBERS @ FLORIDALE WB,1,38.749504,-90.280881
3663,3663,AIRPORT @ EVERGREEN WB,NEAR SIDE AIRPORT @ EVERGREEN WB,1,38.750108,-90.332062
3725,3725,SUBURBAN @ SHIRLEY EB,NEAR SIDE SUBURBAN @ SHIRLEY EB,2,38.735892,-90.309107
3772,3772,WEST FLORISSANT @ UNION SB,FAR SIDE WEST FLORISSANT @ UNION SB,1,38.694588,-90.239014
3556,3556,WEST FLORISSANT @ PARK NB,NEAR SIDE WEST FLORISSANT @ PARK NB,1,38.708835,-90.251119
14804,14804,CHOUTEAU @ 14TH STREET WB,NEAR SIDE CHOUTEAU @ 14TH STREET WB,1,38.619337,-90.204045
13145,13145,STATE @ 86TH STREET WB,FAR SIDE STATE @ 86TH STREET WB,2,38.590504,-90.063310
13107,13107,STATE @ 33RD STREET EB,FAR SIDE STATE @ 33RD STREET EB,2,38.611857,-90.119361
15385,15385,ILLINOIS @ ELVIRA SB,NEAR SIDE ILLINOIS @ ELVIRA SB,2,38.583229,-89.984964
1680,1680,BROADWAY @ CONVENTION PLAZA SB,NEAR SIDE BROADWAY @ CONVENTION PLAZA SB,1,38.631763,-90.187482
2308,2308,FOREST PARK @ EUCLID EB,FAR SIDE FOREST PARK @ EUCLID EB,1,38.638886,-90.261747
15863,15863,SSM ST CLARE HOSPITAL DRIVEWAY,NEAR SIDE SSM ST CLARE HOSPITAL DRIVEWAY,1,38.528110,-90.474289
1661,1661,TUCKER @ PINE SB,NEAR SIDE TUCKER @ PINE SB,1,38.629297,-90.197791
4374,4374,LUCAS-HUNT @ LEXINGTON NB,FAR SIDE LUCAS-HUNT @ LEXINGTON NB,1,38.695916,-90.296463
5328,5328,4199 FOREST PARK WB,MID-BLOCK 4199 FOREST PARK WB,1,38.636391,-90.249171
6022,6022,NORTH FLORISSANT @ AIRPORT NB,FAR SIDE NORTH FLORISSANT @ AIRPORT NB,1,38.749312,-90.307481
5879,5879,NORTH HANLEY @ STELLA SB,NEAR SIDE NORTH HANLEY @ STELLA SB,1,38.746944,-90.334912
5452,5452,OAKLAND @ MACKLIND EB,FAR SIDE OAKLAND @ MACKLIND EB,1,38.629625,-90.273809
5698,5698,LINDBERGH @ CONWAY NB,FAR SIDE LINDBERGH @ CONWAY NB,1,38.643576,-90.405410
5539,5539,LINDBERGH @ PATTERSON WB,NEAR SIDE LINDBERGH @ PATTERSON WB,1,38.800222,-90.332974
7115,7115,DR ML KING @ CORA EB,FAR SIDE DR ML KING @ CORA EB,1,38.659207,-90.251359
7585,7585,GRAVOIS @ TAFT WB,FAR SIDE GRAVOIS @ TAFT WB,1,38.584925,-90.262645
